[2023-01-13 10:29:13,055: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:29:14,117: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:29:15,153: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:29:16,216: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:29:17,235: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:29:18,281: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:29:19,316: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:29:20,363: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:29:21,385: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:29:22,431: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:29:23,513: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:29:24,559: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:29:25,598: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:29:26,660: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:29:27,698: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:29:28,776: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:29:29,829: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:29:30,922: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:29:31,960: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:29:33,022: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:29:34,076: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:29:35,122: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:29:36,161: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:29:37,207: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:29:38,242: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:29:39,304: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:29:40,370: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:29:41,432: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:29:42,487: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:29:43,549: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:29:44,568: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:29:45,615: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:29:46,634: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:29:47,680: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:29:48,781: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:29:49,828: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:29:50,909: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:29:51,955: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:29:52,993: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:29:54,039: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:29:55,093: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:29:56,171: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:29:57,206: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:29:58,252: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:29:59,306: WARNING] Повторное чтение данных устройства с адресом 1
